id_esp;componente_biologico;especie;subsp_var;sinonimo;genero;familia;orden;clase;phylum_division;reino;nombre_comun;nombre_ingles;habito_crecimiento;ds_004_2014_minagri;ds_043_2006_ag;uicn_2020_3;cites_2019;endemismo;migracion;Columna1;Columna2
48;Artropofauna;Bombyliidae N.D.;;;Bombyliidae N.D.;Bombyliidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
49;Artropofauna;Bombyliidae sp.1;;;Bombyliidae N.D.;Bombyliidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
50;Artropofauna;Bombylius sp.1;;;Bombylius;Bombyliidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
51;Artropofauna;Brachistosternus quiscapata;;;Brachistosternus;Bothriuridae;Scorpiones;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
52;Artropofauna;Brachycyrtus sp.1;;;Brachycyrtus;Ichneumonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
53;Artropofauna;Braconidae N.D.;;;Braconidae N.D.;Braconidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
54;Artropofauna;Bryocorinae sp.;;;Bryocorinae N.D.;Miridae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
55;Artropofauna;Caenohalictus sp.1;;;Caenohalictus;Halictidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
56;Artropofauna;Calleida sp.1;;;Calleida;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
57;Artropofauna;Calleida sp.2;;;Calleida;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
58;Artropofauna;Calliephaltes sp.1;;;Calliephaltes;Ichneumonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
59;Artropofauna;Calliphoridae N.D.;;;Calliphoridae N.D.;Calliphoridae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
60;Artropofauna;Calosoma rufipenne;;;Calosoma;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
61;Artropofauna;Camponotus bruchi;;;Camponotus;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
62;Artropofauna;Camponotus pittieri;;;Camponotus;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
63;Artropofauna;Cantharidae N.D.;;;Cantharidae N.D.;Cantharidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
64;Artropofauna;Carabidae N.D.;;;Carabidae N.D.;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
65;Artropofauna;Carcinophoridae sp.1;;;Carcinophoridae N.D.;Dermaptera;Dermaptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
66;Artropofauna;Carnidae N.D.;;;Carnidae N.D;Carnidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
67;Artropofauna;Carpophilus sp.1;;;Carpophilus;Nitidulidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
68;Artropofauna;Cecidomyiidae N.D.;;;Cecidomyiidae N.D.;Cecidomyiidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
69;Artropofauna;Cecidomyiidae sp.;;;Cecidomyiidae N.D.;Cecidomyiidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
70;Artropofauna;Centris nigerrima;;;Centris;Apidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
71;Artropofauna;Centris sp.1;;;Centris;Apidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
72;Artropofauna;Ceratopogonidae N.D.;;;Ceratopogonidae N.D.;Ceratopogonidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
73;Artropofauna;Chalcidoidea N.D.;;;Chalcidoidea N.D.;Chalcidoidea;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
74;Artropofauna;Chamaemyiidae N.D.;;;Chamaemyiidae N.D.;Chamaemyiidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
75;Artropofauna;Chelonus sp.1;;;Chelonus;Braconidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
76;Artropofauna;Chilicola sp.1;;;Chilicola;Colletidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
77;Artropofauna;Chilicola sp.2;;;Chilicola;Colletidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
78;Artropofauna;Chilicola sp.3;;;Chilicola;Colletidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
79;Artropofauna;Chilicola sp.4;;;Chilicola;Colletidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
80;Artropofauna;Chilicola sp.5;;;Chilicola;Colletidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
81;Artropofauna;Chironomidae N.D.;;;Chironomidae N.D.;Chironomidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
82;Artropofauna;Chironomidae sp.1;;;Chironomidae N.D.;Chironomidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
83;Artropofauna;Chloropidae N.D.;;;Chloropidae N.D.;Chloropidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
84;Artropofauna;Chrysididae N.D.;;;Chrysididae N.D.;Chrysididae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
85;Artropofauna;Chrysomelidae N.D.;;;Chrysomelidae N.D.;Chrysomelidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
86;Artropofauna;Chrysopodes figuralis;;;Chrysopodes;Chrysopidae;Neuroptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
87;Artropofauna;Chthoniidae N.D.;;;Chthoniidae N.D.;Chthoniidae;Pseudoscorpiones;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
88;Artropofauna;Cicadellidae N.D.;;;Cicadellidae N.D.;Cicadellidae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
89;Artropofauna;Cicindelidia trifasciata;;;Cicindelidia;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
90;Artropofauna;Clubionidae N.D.;;;Clubionidae N.D.;Clubionidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
91;Artropofauna;Coccinelidae N.D.;;;Coccinelidae N.D.;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
92;Artropofauna;Conoderus amplicollis;;;Conoderus;Elateridae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
93;Artropofauna;Conopidae N.D.;;;Conopidae N.D.;Conopidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
94;Artropofauna;Conopidae sp.2;;;Conopidae N.D.;Conopidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
95;Artropofauna;Conura sp.1;;;Conura;Chalcididae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
96;Artropofauna;Cordibates cf. pilosus;;;Cordibates;Tenebrionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
97;Artropofauna;Corynura sp.1;;;Corynura;Halictidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
98;Artropofauna;Crambinae N.D.;;;Crambinae N.D.;Crambidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
99;Artropofauna;Cryptus sp.1;;;Cryptus;Ichneumonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
100;Artropofauna;Culicidae N.D.;;;Culicidae N.D.;Culicidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
101;Artropofauna;Curculionidae N.D.;;Curculionidae 01;Curculionidae N.D.;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
102;Artropofauna;Curculioninae N.D.;;;Curculioninae N.D.;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
103;Artropofauna;Cyclocephala sp.1;;;Cyclocephala;Scarabaeidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
104;Artropofauna;Cyclocephala sp.2;;;Cyclocephala;Scarabaeidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
105;Artropofauna;Cycloneda sanguinea;;;Cycloneda;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
106;Artropofauna;Cylydrorhinus sp.1;;;Cylydrorhinus;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
107;Artropofauna;Cylydrorhinus sp.2;;;Cylydrorhinus;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
108;Artropofauna;Cylydrorhinus sp.3;;;Cylydrorhinus;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
109;Artropofauna;Cylydrorhinus sp.4;;;Cylydrorhinus;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
110;Artropofauna;Cynipidae N.D.;;;Cynipidae N.D.;Cynipidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
111;Artropofauna;Cynipidae sp.;;;Cynipidae N.D.;Cynipidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
112;Artropofauna;Danaus erippus;;;Danaus;Nymphalidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
113;Artropofauna;Dasytinae N.D.;;Dasytidae;Dasytinae N.D.;Melyridae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
114;Artropofauna;Delphacidae N.D.;;;Delphacidae N.D.;Delphacidae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
115;Artropofauna;Delphacidae sp.1;;;Delphacidae N.D.;Delphacidae;Hemiptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
116;Artropofauna;Dermestes sp.1;;;Dermestes;Dermestidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
117;Artropofauna;Diadasia sp.1;;;Diadasia;Apidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
118;Artropofauna;Diapriidae N.D.;;;Diapriidae N.D.;Diapriidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
119;Artropofauna;Diatraea sp.1;;;Diatraea;Crambidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
120;Artropofauna;Dictynidae N.D.;;;Dictynidae N.D.;Dictynidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
121;Artropofauna;Dione juno miraculosa;;;Dione;Nymphalidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
122;Artropofauna;Dolichopodidae N.D.;;;Dolichopodidae N.D.;Dolichopodidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
123;Artropofauna;Drosophilidae N.D.;;;Drosophilidae N.D.;Drosophilidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
124;Artropofauna;Drosophilidae sp.;;;Drosophilidae N.D.;Drosophilidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
125;Artropofauna;Dryophthorinae N.D.;;;Dryophthorinae N.D.;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
126;Artropofauna;Elateridae N.D.;;;Elateridae N.D.;Elateridae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
127;Artropofauna;Empididae N.D.;;;Empididae N.D.;Empididae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
128;Artropofauna;Empididae sp.;;;Empididae N.D.;Empididae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
129;Artropofauna;Entomobryidae N.D.;;;Entomobryidae N.D.;Entomobryidae;Entomobryomorpha;Collembola;Arthropoda;Animalia;;;;;;;;;;;
130;Artropofauna;Entomobryidae sp.1;;;Entomobryidae N.D.;Entomobryidae;Entomobryomorpha;Collembola;Arthropoda;Animalia;;;;;;;;;;;
131;Artropofauna;Entomochilus sp.;;;Entomochilus;Tenebrionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
132;Artropofauna;Ephemeroptera N.D.;;;Ephemeroptera N.D.;Ephemeroptera N.D.;Ephemeroptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
133;Artropofauna;Ephydridae N.D.;;;Ephydridae N.D.;Ephydridae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
134;Artropofauna;Epitragopsis olivaceus;;;Epitragopsis;Tenebrionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
135;Artropofauna;Epitrix sp.1;;;Epitrix;Chrysomelidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
136;Artropofauna;Eriopis connexa;;;Eriopis;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
137;Artropofauna;Eriopis sp.1;;Eriopis sp.;Eriopis;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
138;Artropofauna;Eriopis sp.2;;;Eriopis;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
139;Artropofauna;Eulophidae sp.1;;;Eulophidae ND.;Eulophidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
140;Artropofauna;Eupelmidae sp.1;;;Eupelmidae N.D;Eupelmidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
141;Artropofauna;Eurytomidae sp.1;;;Eurytomidae N.D.;Eurytomidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
142;Artropofauna;Fannia sp.1;;;Fannia;Fanniidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
143;Artropofauna;Filistatidae N.D.;;;Filistatidae N.D.;Filistatidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
144;Artropofauna;Formicidae N.D.;;;Formicidae N.D.;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
145;Artropofauna;Gelechidae N.D.;;;Gelechidae N.D.;Gelechiidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
146;Artropofauna;Gelechiidae N.D.;;;Gelechiidae N.D.;Gelechiidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
147;Artropofauna;Gelechiidae sp.;;;Gelechiidae N.D.;Gelechiidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
148;Artropofauna;Geometridae N.D.;;;Geometridae N.D.;Geometridae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
149;Artropofauna;Geophilomorpha N.D.;;;Geophilomorpha N.D.;Geophilomorpha N.D.;Geophilomorpha;Chilopoda;Arthropoda;Animalia;;;;;;;;;;;
150;Artropofauna;Gnaphosidae N.D.;;;Gnaphosidae N.D.;Gnaphosidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
151;Artropofauna;Gryllidae N.D.;;;Gryllidae N.D.;Gryllidae;Orthoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
152;Artropofauna;Gryllus assimilis;;;Gryllus;Gryllidae;Orthoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
153;Artropofauna;Gryllus sp.;;;Gryllus;Gryllidae;Orthoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
154;Artropofauna;Halictidae N.D.;;;Halictidae N.D.;Halictidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
155;Artropofauna;Halictus sp.1;;;Halictus;Halictidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
156;Artropofauna;Heleomyzidae N.D.;;;Heleomyzidae N.D.;Heleomyzidae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
157;Artropofauna;Heloridae N.D.;;;Heloridae N.D.;Heloridae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
158;Artropofauna;Hemiargus ramon;;;Hemiargus;Lycaenidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
159;Artropofauna;Hemipsocidae N.D.;;;Hemipsocidae N.D.;Hemipsocidae;Psocodea;Insecta;Arthropoda;Animalia;;;;;;;;;;;
160;Artropofauna;Hippodamia convergens;;;Hippodamia;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
161;Artropofauna;Homoporus sp.;;;Homoporus;Pteromalidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
162;Artropofauna;Hylephila isonira mima;;;Hylephila;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
163;Artropofauna;Hylephila phyleus;;;Hylephila;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
164;Artropofauna;Hyles annei;;;Hyles;Sphingidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
165;Artropofauna;Hylithus sp.;;;Hylithus;Tenebrionidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
166;Artropofauna;Ibalia sp.1;;Ophion sp.1;Ibalia;Ibaliidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
167;Artropofauna;Ichneumonidae N.D.;;;Ichneumonidae N.D.;Ichneumonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
168;Artropofauna;Ichneumonidae sp.;;;Ichneumonidae N.D.;Ichneumonidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
169;Artropofauna;Isotomidae sp.1;;;Isotomidae N.D.;Isotomidae;Entomobryomorpha;Collembola;Arthropoda;Animalia;;;;;;;;;;;
170;Artropofauna;Labidura sp.1;;;Labidura;Labiduridae;Dermaptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
171;Artropofauna;Lasioderma sp.1;;;Lasioderma;Anobiidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
172;Artropofauna;Lasionota rufocaudalis;;;Lasionota;Buprestidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
173;Artropofauna;Latrodectus mactans;;;Latrodectus;Theridiidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
174;Artropofauna;Leiodidae sp.1;;Leptinidae sp.1;Leiodidae N.D.;Leiodidae;Coleoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
175;Artropofauna;Leptotes trigemmatus;;;Leptotes;Lycaenidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
176;Artropofauna;Leptus sp.1;;;Leptus;Erythraeidae;Trombidiformes;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
177;Artropofauna;Liguus sp.1;;;Liguus;Bulimulidae;Stylommatophora;Gastropoda;Mollusca;Animalia;;;;;;;;;;;
178;Artropofauna;Linepithema humile;;;Linepithema;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
179;Artropofauna;Linyphiidae N.D.;;Linyphiidae 01;Linyphiidae N.D.;Linyphiidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
180;Artropofauna;Loxosceles laeta;;;Loxosceles;Sicariidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
181;Artropofauna;Loxosceles sp.1;;;Loxosceles;Sicariidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
182;Artropofauna;Loxosceles sp.2;;;Loxosceles;Sicariidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
183;Artropofauna;Lucilia sp.1;;;Lucilia;Calliphoridae;Diptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
184;Artropofauna;Lycaenidae N.D.;;;Lycaenidae N.D.;Lycaenidae;Lepidoptera;Insecta;Arthropoda;Animalia;;;;;;;;;;;
185;Artropofauna;Lycosa sp.1;;;Lycosa;Lycosidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
186;Artropofauna;Lycosa sp.2;;;Lycosa;Lycosidae;Araneae;Euchelicerata;Arthropoda;Animalia;;;;;;;;;;;
